"","x","y","sst","chlo","a","b","phyto_max","dt"
"1525",42.5,-62.5,0.077401522143608,0.0826969364506855,-3.83433193956919,-1.12351732850184,-8.2,0.01
"1526",47.5,-62.5,0.0435528471133834,0.0757469019091871,-3.96072505956236,-1.13115877477116,-8.2,0.01
"1527",52.5,-62.5,0.0355464981662008,0.0712706848811677,-4.04642787239596,-1.1362761332082,-8.2,0.01
"1528",57.5,-62.5,0.108917386630723,0.075984400484581,-3.95627593526217,-1.13089167902283,-8.2,0.01
"1529",62.5,-62.5,0.176314853907061,0.0696183418020856,-4.07898933695509,-1.13820636505005,-8.2,0.01
"1530",67.5,-62.5,0.209402328824248,0.0741623129808884,-3.99065780908093,-1.13295208058868,-8.2,0.01
"1531",72.5,-62.5,0.217460274317916,0.0886644529529015,-3.7316354132875,-1.11722891049425,-8.2,0.01
"1532",77.5,-62.5,0.216585475083103,0.108577923120547,-3.42154855282475,-1.0978335009694,-8.2,0.01
"1533",82.5,-62.5,0.200109098121611,0.141158037697352,-2.99673216788714,-1.07033854522336,-8.1,0.01
"1534",87.5,-62.5,0.198107229061236,0.142856702106454,-2.97680622963039,-1.06902406491949,-8.1,0.01
"1535",92.5,-62.5,0.262651435004349,0.117334034126005,-3.29856746452905,-1.08998004667771,-8.2,0.01
"1536",97.5,-62.5,0.29257856113361,0.126180113726504,-3.18129733447838,-1.0824097600624,-8.1,0.01
"1537",102.5,-62.5,0.257314397418322,0.123925279488666,-3.21056568174723,-1.08430650006991,-8.1,0.01
"1538",107.5,-62.5,0.255966728236411,0.118381625202157,-3.28432916781925,-1.08906510735256,-8.2,0.01
"1539",112.5,-62.5,0.33206202861915,0.134391170836725,-3.07808082775771,-1.0756823515684,-8.1,0.01
"1540",117.5,-62.5,0.394580444348925,0.121574892402396,-3.2415203777196,-1.08630722940103,-8.1,0.01
"1541",122.5,-62.5,0.407559522317395,0.147907925435286,-2.91867046517726,-1.06517658153244,-8.1,0.01
"1542",127.5,-62.5,0.606643751310942,0.155548373302384,-2.8337555973862,-1.05952397679084,-8.1,0.01
"1543",132.5,-62.5,0.705896713135752,0.140964707586509,-2.99901228183108,-1.07048882196786,-8.1,0.01
"1544",137.5,-62.5,0.526569551891765,0.132361791688175,-3.10311582483983,-1.07731954119044,-8.1,0.01
"1545",142.5,-62.5,0.453593646744164,0.122133640319843,-3.23411970470753,-1.08582939027414,-8.1,0.01
"1546",147.5,-62.5,0.419188685745173,0.16716637052988,-2.71105839395234,-1.0512881414914,-8.1,0.01
"1547",152.5,-62.5,0.22587563581084,0.252520858779795,-1.98689350501139,-1.00108458710682,-8,0.01
"1548",157.5,-62.5,0.360471223901833,0.213717603514566,-2.28326987401425,-1.0219566733399,-8.1,0.01
"1549",162.5,-62.5,0.478101063250425,0.165022069018412,-2.73315307167911,-1.05277711186683,-8.1,0.01
"1550",167.5,-62.5,0.827604820530683,0.160846438259879,-2.7768821820679,-1.05571640715827,-8.1,0.01
"1551",172.5,-62.5,1.32458991440938,0.167668471011958,-2.70591947859412,-1.05094145761749,-8.1,0.01
"1552",177.5,-62.5,1.33433718262528,0.181609507629489,-2.56823144711421,-1.04160096398946,-8.1,0.01
"1553",-177.5,-67.5,0.0268308603195961,0.0817646550893668,-3.85084486749641,-1.12452189347812,-8.2,0.01
"1554",-172.5,-67.5,-0.01497217274847,0.0798494873346318,-3.88518556580198,-1.12660507310657,-8.2,0.01
"1555",-167.5,-67.5,-0.0425682215883991,0.0909692461532169,-3.69329147916361,-1.11486326893023,-8.2,0.01
"1556",-162.5,-67.5,-0.0352112329405605,0.107988523056732,-3.43009368311419,-1.09837587167907,-8.2,0.01
"1557",-157.5,-67.5,-0.0474190296529607,0.113120998914587,-3.35683396667338,-1.09371194139454,-8.2,0.01
"1558",-152.5,-67.5,-0.060547976771353,0.151044798002785,-2.8833799800663,-1.06283208497845,-8.1,0.01
"1559",-147.5,-67.5,-0.0518950064556449,0.125436988466115,-3.19089772762292,-1.08303244965216,-8.1,0.01
"1560",-142.5,-67.5,-0.0310435624770101,0.107763747800054,-3.43336173354721,-1.09858318412387,-8.2,0.01
